VARIABLE;DESCRIPTION;DERIVED FROM;SURVEY QUESTION;VALUES
uniqueadd_id;ID unique to each address (i.e., to each survey respondent);;;Alphanumeric code
flood_max_1_in_100_years;Whether address is in the 1 in 100 years flood category;;;0, 1
flood_max_1_in_1000_years;Whether address is in the 1 in 1000 years flood category;;;0, 1
flood_max_1_in_10000_years;Whether address is in the 1 in 10000 years flood category;;;0, 1
waterdepth_max_less_than_05m;Whether address is in the 0.5m maximum water depth category;;;0, 1
waterdepth_max_between_05_and_1m;Whether address is in the 0.5m to 1m maximum water depth category;;;0, 1
waterdepth_max_between_1_and_15m;Whether address is in the 1m to 1.5m maximum water depth category;;;0, 1
waterdepth_max_between_15_and_2m;Whether address is in the 1.5m to 2m maximum water depth category;;;0, 1
waterdepth_max_between_2_and_5m;Whether address is in the 2m to 5m maximum water depth category;;;0, 1
waterdepth_max_more_than_5m;Whether address is in the more than 5m maximum water depth category;;;0, 1
waterdepth_max_over_2m;Whether address is in the more than 2m maximum water depth category (coarser category for randomization integrity checks);waterdepth_max_less_than_05m, waterdepth_max_between_05_and_1m, waterdepth_max_between_1_and_15m, waterdepth_max_between_15_and_2m, waterdepth_max_between_2_and_5m, waterdepth_max_more_than_5m;;0, 1
FLOODED;Whether the address is in the July 2021 floodplain;;;0, 1
dist_floodareas;Distance from (closest) flooded area;;;Non-negative number
GEMNAME_2022;Gemeente in 2022;;;Gemeente name
consent;Consent to participate into the survey, in words;;;I do NOT consent to participate in this survey, I consent to participate in this survey
consent_numeric;Consent to participate into the survey, numeric;consent;;0, 1
consent_followup;Consent to be contacted for follow-up surveys, in words;;;I do NOT consent to be contacted via email for a follow-up survey, I do consent to be contacted via email for a follow-up survey
consent_followup_numeric;Consent to be contacted for follow-up surveys, numeric;consent_followup;;0, 1
StartDate;When the respondents first clicked the survey link;;;Time stamp
EndDate;When the respondent submitted their survey;;;Time stamp
Progress;The progress a respondent made in the survey before finishing, in percentage of the total survey questiond;;;Integer between 0 and 100
duration_seconds;The number of seconds it took the respondent to complete the survey.;;;Non-negative number
Finished;Whether the response was submitted or closed;;;0, 1 OR FALSE, TRUE
RecordedDate;When a survey was recorded in Qualtrics;;;Time stamp
UserLanguage;Respondent's language code;;;EN, NL
payment;How the survey respondent would be like to receive payment, if selected;;Would you prefer to receive your voucher via email (as a numeric code) or via physical mail? ;Email, Physical mail
household_members;Total number of household members;;Including yourself, how many people – including children – live here regularly as members of this household? Please enter a number.;1, 2, 3+
hh_member_residing;Whether there is a household member who has been residing at the address longer than the respondent;;Is there another household member who has been residing at this address longer than you?;yes, no
hh_member_how_long;Time spent at the address by the household member who has been residing there longer than the respondent (if applicable);;How long has the household member been residing at this address?;Less than 1 year, Between 1 and 5 years, Between 5 and 10 years, Between 10 and 20 years, More than 20 years
homeownership;Whether the house is owned;;Do you own the house at this address?;yes, no, prefer not to say
preparedness;Measures against floods implemented by the household;;The measures below may reduce your flood risk or reduce your damages in case of a flood. Please select the measures among these implemented in your house or by your household, if any. You can select multiple options.;EITHER None of the measures above OR Don't know, OR one or more of the following: My household has insurance coverage against floods from extreme rain, My household has insurance coverage against riverine floods, My house is elevated above the street level, My house walls and/or floors are built with water-resistant materials, My house has anti-backflow valves installed on pipes, My house has a pump and/or other systems to drain flood water installed, In my house there are sandbags or other water barriers (e.g. water-proof basement windows), My valuable assets are on higher floors or elevated areas
preparedness_how_many_measures;Number of measures against floods implemented by the household;preparedness;;Integer between 0 and 8
preparedness_high;Number of measures against floods implemented by the household is higher than the average number (average and median coincinde and are equal to 1);preparedness_how_many_masure;;0, 1
house_elevation;By how much the house is elevated;;By how much is your house elevated?;Up to 50 cm above the street level, Between 50 cm and 1 m above the street level, More than 1 m above the street level
julyflood_damages;Whether the household experienced financial damages during the 2021 floods;;Did you face damages during the floods that hit Limburg in July 2021?;yes, no
julyflood_comp;Whether the household received compensation after the 2021 floods;;Have the damages been compensated, either by the government or by your insurance company?;Yes, Partially, No and I am not eligible for compensation, Not yet but I am eligible for compensation
household_income;Household income;;What was your household's monthly net income in 2021?;Less than 1200 EUR, Between 1200 and 1700 EUR, Between 1700 and 2500 EUR, Between 2500 and 4000 EUR, More than 4000 EUR, Prefer not to say, Don't know
household_members_1;Single-member household;household_members;;0, 1
household_members_2;Two-members household;household_members;;0, 1
