VARTYPE;VARNAME
OUTCOME_UPDATE;risk_update
OUTCOME_UPDATE;damages_wins975_1000_update
OUTCOME_UPDATE;damages_wins99_1000_update
OUTCOME_UPDATE;damages_1000_update
OUTCOME_UPDATE;comptot_update
OUTCOME_UPDATE;compshare_update
OUTCOME_UPDATE;worry_numeric_update
OUTCOME_WTP;wtp_insurance_wins975
OUTCOME_WTP;wtp_insurance_wins99
OUTCOME_WTP;wtp_insurance
OUTCOME_WTP;wtp_info
PRE_COV;C(correct_floodmaps)
PRE_COV;C(correct_waterdepth)
PRE_COV;total_frictions
PRE_COV;julyflood_damages_yes
PRE_COV;preparedness_high
PRE_COV;how_long_residing_more_than_20_years
PRE_COV;homeownership_yes
PRE_COV;edu_hbo_or_higher
PRE_COV;household_income_m2500
PRE_COV;gender_male
PRE_COV;age_older_than_65_years_old
PRE_COV;own_background_yes
PRE_COV;prior_beliefs_zscore
PRE_COV;average_beliefs_confidence
PRE_COV_EXTENDED;gender_male
PRE_COV_EXTENDED;risk_standardized
PRE_COV_EXTENDED;damages_1000_standardized
PRE_COV_EXTENDED;comptot_standardized
PRE_COV_EXTENDED;compshare_standardized
PRE_COV_EXTENDED;average_beliefs_confidence
PRE_COV_EXTENDED;worry_numeric
PRE_COV_EXTENDED;flood_max_1_in_100_years
PRE_COV_EXTENDED;flood_max_1_in_1000_years
PRE_COV_EXTENDED;waterdepth_max_between_05_and_1m
PRE_COV_EXTENDED;waterdepth_max_between_1_and_15m
PRE_COV_EXTENDED;waterdepth_max_between_15_and_2m
PRE_COV_EXTENDED;waterdepth_max_between_2_and_5m
PRE_COV_EXTENDED;average_info_confidence
PRE_COV_EXTENDED;total_frictions
PRE_COV_EXTENDED;friction_floodmaps
PRE_COV_EXTENDED;friction_waterdepth
PRE_COV_EXTENDED;friction_WTS_indicator
PRE_COV_EXTENDED;friction_WTScomp_indicator
PRE_COV_EXTENDED;ins_rain_numeric
PRE_COV_EXTENDED;ins_primary_numeric
PRE_COV_EXTENDED;ins_secondary_numeric
PRE_COV_EXTENDED;claims
PRE_COV_EXTENDED;julyflood_damages_yes
PRE_COV_EXTENDED;time_planning_m10
PRE_COV_EXTENDED;how_long_residing_more_than_20_years
PRE_COV_EXTENDED;homeownership_yes
PRE_COV_EXTENDED;edu_hbo_or_higher
PRE_COV_EXTENDED;age_between_45_and_64_years_old
PRE_COV_EXTENDED;age_older_than_65_years_old
PRE_COV_EXTENDED;own_background_yes
PRE_COV_EXTENDED;household_income_between_1200_and_1700_eur
PRE_COV_EXTENDED;household_income_between_1700_and_2500_eur
PRE_COV_EXTENDED;household_income_between_2500_and_4000_eur
PRE_COV_EXTENDED;household_income_more_than_4000_eur
PRE_COV_EXTENDED;household_income_prefer_not_to_say
PRE_COV_EXTENDED;preparedness_how_many_measures
PRE_COV_EXTENDED;preparedness_no_measures
PRE_COV_EXTENDED;preparedness_has_insurance_rivers
PRE_COV_EXTENDED;household_members_1
PRE_COV_EXTENDED;household_members_2
